date,sales
2023-01-01,269
2023-01-08,3752
2023-01-15,2508
2023-01-22,2563
2023-01-29,3666
2023-02-05,3002
2023-02-12,3065
2023-02-19,3785
2023-02-26,2456
2023-03-05,3227
2023-03-12,3671
2023-03-19,2918
2023-03-26,2769
2023-04-02,4003
2023-04-09,2007
2023-04-16,4141
2023-04-23,2582
2023-04-30,2487
2023-05-07,4563
2023-05-14,2688
2023-05-21,3061
2023-05-28,3753
2023-06-04,3888
2023-06-11,2630
2023-06-18,3242
2023-06-25,3645
2023-07-02,3405
2023-07-09,3659
2023-07-16,3434
2023-07-23,2936
2023-07-30,2841
2023-08-06,3307
2023-08-13,2655
2023-08-20,1534
2023-08-27,2029
2023-09-03,3056
2023-09-10,1701
2023-09-17,2542
2023-09-24,2369
2023-10-01,3093
2023-10-08,2143
2023-10-15,1997
2023-10-22,2466
2023-10-29,3128
2023-11-05,3386
2023-11-12,1417
2023-11-19,3628
2023-11-26,2104
2023-12-03,4554
2023-12-10,3044
2023-12-17,4327
2023-12-24,3674
2023-12-31,3693
