date,sales
2023-01-08,4221
2023-01-15,3083
2023-01-22,2952
2023-01-29,3807
2023-02-05,4934
2023-02-12,3693
2023-02-19,2811
2023-02-26,3436
2023-03-05,3968
2023-03-12,3694
2023-03-19,4361
2023-03-26,3462
2023-04-02,2710
2023-04-09,3862
2023-04-16,4141
2023-04-23,4072
2023-04-30,4611
2023-05-07,1936
2023-05-14,2661
2023-05-21,3817
2023-05-28,1058
2023-06-04,1308
2023-06-11,3437
2023-06-18,2906
2023-06-25,3580
2023-07-02,2273
2023-07-09,1405
2023-07-16,3066
2023-07-23,2801
2023-07-30,4256
2023-08-06,2352
2023-08-13,2401
2023-08-20,2714
2023-08-27,2899
2023-09-03,3126
2023-09-10,2979
2023-09-17,4354
2023-09-24,4287
2023-10-01,2171
2023-10-08,2922
2023-10-15,4534
2023-10-22,1517
2023-10-29,3190
2023-11-05,1690
2023-11-12,2500
2023-11-19,2657
2023-11-26,2314
2023-12-03,3102
2023-12-10,2143
2023-12-17,2013
2023-12-24,2838
2023-12-31,2785
